,Track,Max_Speed,Time
0,"[100,1500,100,100]",10,246.199043
1,"[100,1500,100,100]",20,121.739712
2,"[100,1500,100,100]",30,82.565678
3,"[100,1500,100,100]",38,67.602551
4,"[1000,100,100]",10,98.188784
5,"[1000,100,100]",20,51.016983
6,"[1000,100,100]",30,36.514622
7,"[1000,100,100]",38,32.975579
8,"[1100,100,100]",10,114.559933
9,"[1100,100,100]",20,54.432462
10,"[1100,100,100]",30,37.412875
11,"[1100,100,100]",38,31.499228
12,"[1200,100,100]",10,113.346803
13,"[1200,100,100]",20,60.279489
14,"[1200,100,100]",30,41.863558
15,"[1200,100,100]",38,32.025877
16,"[1300,100,100]",10,117.845448
17,"[1300,100,100]",20,59.072293
18,"[1300,100,100]",30,39.867919
19,"[1300,100,100]",38,31.865258
20,"[1500,100,100]",10,136.994249
21,"[1500,100,100]",20,69.278332
22,"[1500,100,100]",30,47.007278
23,"[1500,100,100]",38,38.41555
24,"[200,1500,100,100]",10,262.69506
25,"[200,1500,100,100]",20,130.980188
26,"[200,1500,100,100]",30,89.452923
27,"[200,1500,100,100]",38,69.941423
28,"[300,1500,100,100]",10,283.717654
29,"[300,1500,100,100]",20,140.368371
30,"[300,1500,100,100]",30,94.128685
31,"[300,1500,100,100]",38,76.000897
32,"[400,1500,100,100]",10,295.35644
33,"[400,1500,100,100]",20,149.311974
34,"[400,1500,100,100]",30,98.984819
35,"[400,1500,100,100]",38,79.958921
36,"[500,1500,100,100]",10,315.588788
37,"[500,1500,100,100]",20,157.314194
38,"[500,1500,100,100]",30,105.072142
39,"[500,1500,100,100]",38,84.474089
40,"[600,1500,100,100]",10,337.714676
41,"[600,1500,100,100]",20,168.774588
42,"[600,1500,100,100]",30,111.430619
43,"[600,1500,100,100]",38,89.954151
44,"[700,1500,100,100]",10,350.523243
45,"[700,1500,100,100]",20,175.238155
46,"[700,1500,100,100]",30,115.408909
47,"[700,1500,100,100]",38,92.831884
