,Track,Max_Speed,Time
0,"[100,1500,100,100]",10,40.428238
1,"[100,1500,100,100]",20,21.607221
2,"[100,1500,100,100]",30,14.981176
3,"[100,1500,100,100]",38,12.556095
4,"[1000,100,100]",10,24.38723
5,"[1000,100,100]",20,13.537267
6,"[1000,100,100]",30,9.868154
7,"[1000,100,100]",38,8.779161
8,"[1100,100,100]",10,27.107986
9,"[1100,100,100]",20,14.434541
10,"[1100,100,100]",30,10.47869
11,"[1100,100,100]",38,10.133807
12,"[1200,100,100]",10,28.530525
13,"[1200,100,100]",20,14.538919
14,"[1200,100,100]",30,11.41012
15,"[1200,100,100]",38,9.524069
16,"[1300,100,100]",10,27.975758
17,"[1300,100,100]",20,14.989491
18,"[1300,100,100]",30,10.599059
19,"[1300,100,100]",38,9.094161
20,"[1500,100,100]",10,32.263889
21,"[1500,100,100]",20,16.999951
22,"[1500,100,100]",30,12.493036
23,"[1500,100,100]",38,10.265704
24,"[200,1500,100,100]",10,42.819543
25,"[200,1500,100,100]",20,22.509647
26,"[200,1500,100,100]",30,15.842438
27,"[200,1500,100,100]",38,12.94351
28,"[300,1500,100,100]",10,47.694802
29,"[300,1500,100,100]",20,24.322999
30,"[300,1500,100,100]",30,17.18894
31,"[300,1500,100,100]",38,13.952355
32,"[400,1500,100,100]",10,48.215773
33,"[400,1500,100,100]",20,24.775056
34,"[400,1500,100,100]",30,17.738747
35,"[400,1500,100,100]",38,14.471082
36,"[500,1500,100,100]",10,51.083518
37,"[500,1500,100,100]",20,26.1985
38,"[500,1500,100,100]",30,18.609818
39,"[500,1500,100,100]",38,15.017989
40,"[600,1500,100,100]",10,52.238294
41,"[600,1500,100,100]",20,27.914895
42,"[600,1500,100,100]",30,19.075206
43,"[600,1500,100,100]",38,15.468174
44,"[700,1500,100,100]",10,58.157549
45,"[700,1500,100,100]",20,29.386202
46,"[700,1500,100,100]",30,20.333736
47,"[700,1500,100,100]",38,16.692544
